model,link,moe,size,act_param,type,complete,instruct
CodeLlama-34B-Base,https://huggingface.co/codellama/CodeLlama-34b-hf,False,34.0,34.0,🟢,37.1,
CodeLlama-34B-Instruct,https://huggingface.co/codellama/CodeLlama-34b-Instruct-hf,False,34.0,34.0,🔶,35.6,29.0
CodeLlama-70B-Base,https://huggingface.co/codellama/CodeLlama-70b-hf,False,70.0,70.0,🟢,44.0,
CodeLlama-70B-Instruct,https://huggingface.co/codellama/CodeLlama-70b-Instruct-hf,False,70.0,70.0,🔶,49.6,40.7
CodeQwen1.5-7B-Chat,https://huggingface.co/Qwen/CodeQwen1.5-7B-Chat,False,7.0,7.0,🔶,43.6,39.6
Qwen1.5-110B-Chat,https://huggingface.co/Qwen/Qwen1.5-110B-Chat,False,110.0,110.0,🔶,44.4,35.0
Qwen1.5-72B-Chat,https://huggingface.co/Qwen/Qwen1.5-72B-Chat,False,72.0,72.0,🔶,40.3,33.2
Qwen1.5-32B-Chat,https://huggingface.co/Qwen/Qwen1.5-32B-Chat,False,32.0,32.0,🔶,42.0,32.3
DeepSeek-V2-Chat,https://huggingface.co/deepseek-ai/DeepSeek-V2-Chat,True,236.0,21.0,🔶,49.0,40.4
DeepSeek-Coder-1.3B-Base,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-base,False,1.3,1.3,🟢,22.2,
DeepSeek-Coder-1.3B-Instruct,https://huggingface.co/deepseek-ai/deepseek-coder-1.3b-instruct,False,1.3,1.3,🔶,29.6,22.8
DeepSeek-Coder-33B-Base,https://huggingface.co/deepseek-ai/deepseek-coder-33b-base,False,33.0,33.0,🟢,46.6,
DeepSeek-Coder-33B-Instruct,https://huggingface.co/deepseek-ai/deepseek-coder-33b-instruct,False,33.0,33.0,🔶,51.1,42.0
DeepSeek-Coder-6.7B-Base,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-base,False,6.7,6.7,🟢,41.8,
DeepSeek-Coder-6.7B-Instruct,https://huggingface.co/deepseek-ai/deepseek-coder-6.7b-instruct,False,6.7,6.7,🔶,43.8,35.5
Llama-3-70B-Base,https://huggingface.co/meta-llama/Meta-Llama-3-70B,False,70.0,70.0,🟢,43.3,
Llama-3-70B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3-70B-Instruct,False,70.0,70.0,🔶,54.5,43.6
Llama-3-8B-Base,https://huggingface.co/meta-llama/Meta-Llama-3-8B,False,8.0,8.0,🟢,28.8,
Llama-3-8B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3-8B-Instruct,False,8.0,8.0,🔶,36.9,31.9
Granite-Code-3B-Instruct,https://huggingface.co/ibm-granite/granite-3b-code-instruct,False,3.0,3.0,🔶,31.4,
Granite-Code-8B-Instruct,https://huggingface.co/ibm-granite/granite-8b-code-instruct,False,8.0,8.0,🔶,39.7,
Granite-Code-20B-Instruct,https://huggingface.co/ibm-granite/granite-20b-code-instruct,False,20.0,20.0,🔶,42.0,34.0
Granite-Code-34B-Instruct,https://huggingface.co/ibm-granite/granite-34b-code-instruct,False,34.0,34.0,🔶,44.4,36.1
Granite-Code-3B-Base,https://huggingface.co/ibm-granite/granite-3b-code-base,False,3.0,3.0,🟢,20.0,
Granite-Code-8B-Base,https://huggingface.co/ibm-granite/granite-8b-code-base,False,8.0,8.0,🟢,35.7,
Granite-Code-20B-Base,https://huggingface.co/ibm-granite/granite-20b-code-base,False,20.0,20.0,🟢,25.6,
Granite-Code-34B-Base,https://huggingface.co/ibm-granite/granite-34b-code-base,False,34.0,34.0,🟢,38.4,
Claude-3-Haiku-20240307,https://www.anthropic.com/news/claude-3-family,False,,,🔶,50.1,39.4
Claude-3-Sonnet-20240229,https://www.anthropic.com/news/claude-3-family,False,,,🔶,53.8,42.7
Claude-3-Opus-20240229,https://www.anthropic.com/news/claude-3-family,False,,,🔶,57.4,45.5
Yi-1.5-34B-Chat,https://huggingface.co/01-ai/Yi-1.5-34B-Chat,False,34.0,34.0,🔶,43.8,33.9
Yi-1.5-34B,https://huggingface.co/01-ai/Yi-1.5-34B,False,34.0,34.0,🟢,40.3,
Yi-1.5-9B-Chat,https://huggingface.co/01-ai/Yi-1.5-9B-Chat,False,9.0,9.0,🔶,42.4,34.5
Yi-1.5-9B,https://huggingface.co/01-ai/Yi-1.5-9B,False,9.0,9.0,🟢,35.5,
Yi-1.5-6B-Chat,https://huggingface.co/01-ai/Yi-1.5-6B-Chat,False,6.0,6.0,🔶,33.9,25.6
Yi-1.5-6B,https://huggingface.co/01-ai/Yi-1.5-6B,False,6.0,6.0,🟢,27.5,
Qwen2-57B-A14B,https://huggingface.co/Qwen/Qwen2-57B-A14B,True,57.0,14.0,🔶,46.8,36.1
Qwen2-7B-Instruct,https://huggingface.co/Qwen/Qwen2-7B-Instruct,False,7.0,7.0,🔶,42.1,29.1
Qwen2-72B-Chat,https://huggingface.co/Qwen/Qwen2-72B-Chat,False,72.0,72.0,🔶,54.0,38.5
Gemini-1.5-Pro-API-0514,https://deepmind.google/technologies/gemini/pro,False,,,🔶,57.5,43.8
Gemini-1.5-Flash-API-0514,https://deepmind.google/technologies/gemini/flash/,False,,,🔶,55.1,43.5
OpenCodeInterpreter-DS-33B,https://huggingface.co/m-a-p/OpenCodeInterpreter-DS-33B,False,33.0,33.0,🔶,51.0,
OpenCodeInterpreter-DS-6.7B,https://huggingface.co/m-a-p/OpenCodeInterpreter-DS-6.7B,False,6.7,6.7,🔶,44.6,37.1
OpenCodeInterpreter-DS-1.3B,https://huggingface.co/m-a-p/OpenCodeInterpreter-DS-1.3B,False,1.3,1.3,🔶,29.8,25.3
Phi-3-Medium-128K-Instruct,https://huggingface.co/microsoft/Phi-3-medium-128k-instruct,False,14.0,14.0,🔶,48.7,37.6
Phi-3-Small-128K-Instruct,https://huggingface.co/microsoft/Phi-3-small-128k-instruct,False,7.0,7.0,🔶,39.4,31.1
Codestral-22B-v0.1,https://huggingface.co/mistralai/Codestral-22B-v0.1,False,22.0,22.0,🔶,52.5,41.8
Codestral-Mamba,https://huggingface.co/mistralai/mamba-codestral-7B-v0.1,False,7.0,7.0,🔶,44.6,35.9
Mistral-7B-Instruct-v0.3,https://huggingface.co/mistralai/Mistral-7B-Instruct-v0.3,False,7.0,7.0,🔶,27.3,19.5
Mistral-7B-v0.3,https://huggingface.co/mistralai/Mistral-7B-v0.3,False,7.0,7.0,🟢,23.5,
Command R+,https://huggingface.co/CohereForAI/c4ai-command-r-plus,False,104.0,104.0,🔶,41.9,33.8
DeepSeek-Coder-V2-Instruct,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Instruct,True,236.0,21.0,🔶,59.7,48.2
DeepSeek-Coder-V2-Lite-Instruct,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct,True,16.0,2.4,🔶,47.6,36.8
DeepSeek-Coder-V2-Lite-Base,https://huggingface.co/deepseek-ai/DeepSeek-Coder-V2-Lite-Base,True,16.0,2.4,🟢,30.6,
Claude-3.5-Sonnet-20240620,https://claude.ai/,False,,,🔶,58.6,46.8
Hermes-2-Theta-Llama-3-70B,https://huggingface.co/NousResearch/Hermes-2-Theta-Llama-3-70B,False,70.0,70.0,🔶,55.6,45.6
WaveCoder-Ultra-6.7B,https://huggingface.co/microsoft/wavecoder-ultra-6.7b,False,6.7,6.7,🔶,43.7,33.9
Gemma-2-9B-Instruct,https://huggingface.co/google/gemma-2-9b-it,False,9.0,9.0,🔶,40.6,34.7
AutoCoder,https://huggingface.co/Bin12345/AutoCoder,False,33.0,33.0,🔶,52.5,40.7
AutoCoder-S-6.7B,https://huggingface.co/Bin12345/AutoCoder_S_6.7B,False,6.7,6.7,🔶,46.5,36.1
AutoCoder-QW-7B,https://huggingface.co/Bin12345/AutoCoder_QW_7B,False,7.0,7.0,🔶,41.8,32.2
ReflectionCoder-DS-33B,https://huggingface.co/SenseLLM/ReflectionCoder-DS-33B,False,33.0,33.0,🔶,52.9,42.4
ReflectionCoder-DS-6.7B,https://huggingface.co/SenseLLM/ReflectionCoder-DS-6.7B,False,6.7,6.7,🔶,47.8,36.8
ReflectionCoder-CL-34B,https://huggingface.co/SenseLLM/ReflectionCoder-CL-34B,False,34.0,34.0,🔶,46.8,37.7
ReflectionCoder-CL-7B,https://huggingface.co/SenseLLM/ReflectionCoder-CL-7B,False,7.0,7.0,🔶,40.5,28.4
Phi-3.1-Mini-128K-Instruct,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct,False,3.8,3.8,🔶,46.2,36.8
Phi-3-Mini-128K-Instruct,https://huggingface.co/microsoft/Phi-3-mini-128k-instruct,False,3.8,3.8,🔶,40.6,29.6
InternLM2.5-7B-Chat,https://huggingface.co/internlm/internlm2_5-7b-chat,False,7.0,7.0,🔶,33.1,25.8
Hermes-2-Pro-Llama-3-70B,https://huggingface.co/NousResearch/Hermes-2-Pro-Llama-3-70B,False,70.0,70.0,🔶,54.5,37.2
DeepSeek-V2-Chat (2024-06-28),https://www.deepseek.com/,True,236.0,21.0,🔶,59.4,48.9
Gemma-2-27B-Instruct,https://huggingface.co/google/gemma-2-27b-it,False,27.0,27.0,🔶,52.5,42.8
Artigenz-Coder-DS-6.7B,https://huggingface.co/Artigenz/Artigenz-Coder-DS-6.7B,False,6.7,6.7,🔶,47.1,38.0
OpenChat-3.6-8B-20240522,https://huggingface.co/openchat/openchat-3.6-8b-20240522,False,8.0,8.0,🔶,37.1,28.1
Phind-CodeLlama-34B-v2,https://huggingface.co/Phind/Phind-CodeLlama-34B-v2,False,34.0,34.0,🔶,47.5,38.2
Yi-Large,https://www.lingyiwanwu.com/,False,,,🔶,47.2,37.7
CodeGeex4-All-9B,https://huggingface.co/THUDM/codegeex4-all-9b,False,9.0,9.0,🔶,49.0,40.0
GPT-4o-mini-2024-07-18,https://openai.com/index/gpt-4o-mini-advancing-cost-efficient-intelligence/,False,,,🔶,57.4,46.1
Athene-70B,https://huggingface.co/Nexusflow/Athene-70B,False,70.0,70.0,🔶,47.5,36.8
Nxcode-CQ-7B-Orpo,https://huggingface.co/NTQAI/Nxcode-CQ-7B-orpo,False,7.0,7.0,🔶,44.6,39.6
Llama-3-70B-Synthia-v3.5,https://huggingface.co/migtissera/Llama-3-70B-Synthia-v3.5,False,70.0,70.0,🔶,54.1,42.8
Tess-v2.5.2-Qwen2-72B,https://huggingface.co/migtissera/Tess-v2.5.2-Qwen2-72B,False,72.0,72.0,🔶,46.3,37.0
WhiteRabbitNeo-33B-v1.5,https://huggingface.co/WhiteRabbitNeo/WhiteRabbitNeo-33B-v1.5,False,33.0,33.0,🔶,52.6,41.7
Mistral-Large-Instruct-2407,https://huggingface.co/mistralai/Mistral-Large-Instruct-2407,False,123.0,123.0,🔶,,
Llama-3.1-8B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-8B-Instruct,False,8.0,8.0,🔶,40.5,32.8
Llama-3.1-70B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-70B-Instruct,False,70.0,70.0,🔶,54.8,46.1
Llama-3.1-405B-Instruct,https://huggingface.co/meta-llama/Meta-Llama-3.1-405B-Instruct,False,405.0,405.0,🔶,,
DeepSeek-Coder-V2-Instruct (2024-07-24),https://www.deepseek.com/,True,236.0,21.0,🔶,,
Phi-3.5-Mini-Instruct,https://huggingface.co/microsoft/Phi-3.5-mini-instruct,False,3.8,3.8,🔶,38.5,32.8
Mistral-Nemo-12B-Instruct,https://huggingface.co/nv-mistralai/Mistral-Nemo-12B-Instruct,False,12.0,12.0,🔶,,
InverseCoder-CL-13B,https://huggingface.co/wyt2000/InverseCoder-CL-13B,False,13.0,13.0,🔶,,
InverseCoder-CL-7B,https://huggingface.co/wyt2000/InverseCoder-CL-7B,False,7.0,7.0,🔶,,
InverseCoder-DS-6.7B,https://huggingface.co/wyt2000/InverseCoder-DS-6.7B,False,6.7,6.7,🔶,,
Gemini-1.5-Pro-Exp-0801,https://deepmind.google/technologies/gemini/pro,False,,,🔶,,
GPT-4o-2024-08-06,https://openai.com/index/introducing-structured-outputs-in-the-api/,False,,,🔶,,
Dracarys-Llama-3.1-70B-Instruct,https://huggingface.co/abacusai/Dracarys-Llama-3.1-70B-Instruct,False,70.0,70.0,🔶,,
Dracarys-72B-Instruct,https://huggingface.co/abacusai/Dracarys-72B-Instruct,False,72.0,72.0,🔶,,
Gemini-1.5-Pro-Exp-0827,https://deepmind.google/technologies/gemini/pro,False,,,🔶,,
Gemini-1.5-Flash-Exp-0827,https://deepmind.google/technologies/gemini/flash/,False,,,🔶,,
DeepSeek-V2.5,https://www.deepseek.com/,True,236.0,21.0,🔶,,
C4AI-Command-R-08-2024,https://huggingface.co/CohereForAI/c4ai-command-r-08-2024,False,32.3,32.3,🔶,45.2,37.1
C4AI-Command-R-Plus-08-2024,https://huggingface.co/CohereForAI/c4ai-command-r-plus-08-2024,False,104.0,104.0,🔶,,
Yi-Coder-9B-Chat,https://huggingface.co/01-ai/Yi-Coder-9B-Chat,False,9.0,9.0,🔶,49.0,38.1
o1-Preview-2024-09-12 (temperature=1),https://openai.com/index/introducing-openai-o1-preview/,False,,,🔶,,
o1-Mini-2024-09-12 (temperature=1),https://openai.com/index/introducing-openai-o1-preview/,False,,,🔶,,
Qwen2.5-Coder-1.5B-Instruct,https://huggingface.co/Qwen/Qwen2.5-Coder-1.5B-Instruct,False,1.5,1.5,🔶,32.7,27.0
Qwen2.5-Coder-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-Coder-7B-Instruct,False,7.0,7.0,🔶,48.8,40.4
Gemini-1.5-Pro-002,https://deepmind.google/technologies/gemini/pro,False,,,🔶,,
Mistral-Small-Instruct-2409,https://huggingface.co/mistralai/Mistral-Small-Instruct-2409,False,22.2,22.2,🔶,46.6,36.1
Qwen2.5-0.5B-Instruct,https://huggingface.co/Qwen/Qwen2.5-0.5B-Instruct,False,0.5,0.5,🔶,11.3,8.8
Qwen2.5-1.5B-Instruct,https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct,False,1.5,1.5,🔶,27.1,20.3
Qwen2.5-7B-Instruct,https://huggingface.co/Qwen/Qwen2.5-7B-Instruct,False,7.0,7.0,🔶,46.1,37.6
Qwen2.5-14B-Instruct,https://huggingface.co/Qwen/Qwen2.5-14B-Instruct,False,14.0,14.0,🔶,52.2,39.8
Qwen2.5-32B-Instruct,https://huggingface.co/Qwen/Qwen2.5-32B-Instruct,False,32.0,32.0,🔶,52.3,45.0
Qwen2.5-72B-Instruct,https://huggingface.co/Qwen/Qwen2.5-72B-Instruct,False,72.0,72.0,🔶,55.9,45.8
Llama-3.2-1B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-1B-Instruct,False,1.0,1.0,🔶,11.3,8.2
Llama-3.2-3B-Instruct,https://huggingface.co/meta-llama/Llama-3.2-3B-Instruct,False,3.0,3.0,🔶,28.3,23.4
Llama-3.1-Nemotron-70B-Instruct,https://huggingface.co/nvidia/Llama-3.1-Nemotron-70B-Instruct-HF,False,70.0,70.0,🔶,48.2,38.7
Claude-3.5-Sonnet-20241022,https://claude.ai/,False,,,🔶,57.5,44.6
Granite-3.0-8B-Instruct,https://huggingface.co/ibm-granite/granite-3.0-8b-instruct,False,8.0,8.0,🔶,35.4,29.3
Granite-3.0-2B-Instruct,https://huggingface.co/ibm-granite/granite-3.0-2b-instruct,False,2.0,2.0,🔶,,20.5
Grok-Beta,https://grok.com/,False,,,🔶,,
Claude-3.5-Haiku-20241022,https://claude.ai/,False,,,🔶,59.0,46.1
Qwen2.5-Coder-14B-Instruct,https://huggingface.co/Qwen/Qwen2.5-Coder-14B-Instruct,False,14.0,14.0,🔶,56.7,48.2
Qwen2.5-Coder-32B-Instruct,https://huggingface.co/Qwen/Qwen2.5-Coder-32B-Instruct,False,32.0,32.0,🔶,58.0,49.0
OpenCoder-1.5B-Instruct,https://huggingface.co/infly/OpenCoder-1.5B-Instruct,False,1.5,1.5,🔶,38.8,34.9
OpenCoder-8B-Instruct,https://huggingface.co/infly/OpenCoder-8B-Instruct,False,8.0,8.0,🔶,50.9,43.2
Athene-V2-Agent,https://huggingface.co/Nexusflow/Athene-V2-Agent,False,72.0,72.0,🔶,56.1,46.2
Athene-V2-Chat,https://huggingface.co/Nexusflow/Athene-V2-Chat,False,72.0,72.0,🔶,56.8,47.2
Gemini-Exp-1114,https://deepmind.google/technologies/gemini,False,,,🔶,59.3,49.2
GPT-4o-2024-11-20,https://openai.com/gpt-4o/,False,,,🔶,58.9,48.0
Gemini-Exp-1121,https://deepmind.google/technologies/gemini,False,,,🔶,58.1,45.4
Gemini-Exp-1206,https://deepmind.google/technologies/gemini,False,,,🔶,62.4,47.0
Llama-3.3-70B-Instruct,https://huggingface.co/meta-llama/Llama-3.3-70B-Instruct,False,70.0,70.0,🔶,57.5,46.9
DeepSeek-V2.5-1210,deepseek-ai/DeepSeek-V2.5-1210,True,236.0,21.0,🔶,53.2,48.6
Gemini-2.0-Flash-Exp,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,False,,,🔶,59.9,45.9
Gemini-2.0-Flash-Thinking-Exp-1219,https://deepmind.google/technologies/gemini,False,,,🔶,,
Gemini-2.0-Flash-Thinking-Exp-01-21,https://deepmind.google/technologies/gemini,False,,,🔶,,
"o1-2024-12-17 (temperature=1, reasoning=medium)",https://openai.com/o1/,False,,,🔶,,
"o1-2024-12-17 (temperature=1, reasoning=low)",https://openai.com/o1/,False,,,🔶,,
"o1-2024-12-17 (temperature=1, reasoning=high)",https://openai.com/o1/,False,,,🔶,,
DeepSeek-V3,https://huggingface.co/deepseek-ai/DeepSeek-V3,True,671.0,37.0,🔶,62.2,50.0
Phi-4,https://huggingface.co/microsoft/phi-4,False,14.7,14.7,🔶,55.4,45.5
DeepSeek-R1,https://huggingface.co/deepseek-ai/DeepSeek-R1,True,671.0,37.0,🔶,,
DeepSeek-R1-Distill-Llama-70B,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-70B,False,70.0,70.0,🔶,49.9,35.3
DeepSeek-R1-Distill-Qwen-32B,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-32B,False,32.0,32.0,🔶,54.9,43.9
DeepSeek-R1-Distill-Qwen-14B,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,False,14.0,14.0,🔶,48.4,38.1
DeepSeek-R1-Distill-Llama-8B,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Llama-8B,False,8.0,8.0,🔶,15.3,10.6
DeepSeek-R1-Distill-Qwen-7B,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,False,7.0,7.0,🔶,24.9,17.5
DeepSeek-R1-Distill-Qwen-1.5B,https://huggingface.co/deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,False,1.5,1.5,🔶,7.9,7.0
Mistral-Small-24B-Instruct-2501,https://huggingface.co/mistralai/Mistral-Small-24B-Instruct-2501,False,24.0,24.0,🔶,50.4,45.3
"o3-mini-2025-01-31 (temperature=1, reasoning=medium)",https://openai.com/index/openai-o3-mini/,False,,,🔶,,
"o3-mini-2025-01-31 (temperature=1, reasoning=low)",https://openai.com/index/openai-o3-mini/,False,,,🔶,,
"o3-mini-2025-01-31 (temperature=1, reasoning=high)",https://openai.com/index/openai-o3-mini/,False,,,🔶,,
Gemini-2.0-Flash-001,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,False,,,🔶,,
Gemini-2.0-Flash-Lite-Preview-02-05,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,False,,,🔶,,
Gemini-2.0-Pro-Exp-02-05,https://blog.google/technology/google-deepmind/gemini-model-updates-february-2025/,False,,,🔶,,
Sky-T1-32B-Flash,https://huggingface.co/NovaSky-AI/Sky-T1-32B-Flash,False,32.0,32.0,🔶,51.2,45.1
Sky-T1-32B-Preview,https://huggingface.co/NovaSky-AI/Sky-T1-32B-Preview,False,32.0,32.0,🔶,51.1,44.9
QwQ-32B-Preview,https://huggingface.co/Qwen/QwQ-32B-Preview,False,32.0,32.0,🔶,54.4,44.6
Claude-3.7-Sonnet-20250219,https://www.anthropic.com/news/claude-3-7-sonnet,False,,,🔶,,
ChatGPT-4o-latest-20250129,https://chat.openai.com/,False,,,🔶,,
KwaiCoder-23B-A4B-v1,https://huggingface.co/Kwaipilot/KwaiCoder-23B-A4B-v1,True,23.0,4.0,🟢,49.9,
Qwen2.5-Max,https://qwenlm.github.io/blog/qwen2.5-max/,True,,,🔶,,
"Claude-3.7-Sonnet-20250219 (temperature=1, length=12800, reasoning=3200)",https://www.anthropic.com/news/claude-3-7-sonnet,False,,,🔶,,
WarriorCoder-6.7B (Reproduced),https://arxiv.org/abs/2412.17395,False,6.7,6.7,🔶,,39.9
Gemma-3-27B-Instruct,https://huggingface.co/google/gemma-3-27b-it,False,27.0,27.0,🔶,,
QwQ-32B (w/ Reasoning),https://huggingface.co/Qwen/QwQ-32B,False,32.0,32.0,🔶,,
DeepSeek-V3-0324,https://huggingface.co/deepseek-ai/DeepSeek-V3-0324,True,671.0,37.0,🔶,,
Gemini-2.5-Pro-Exp-03-25,https://blog.google/technology/google-deepmind/gemini-model-thinking-updates-march-2025/,False,,37.0,🔶,,
